,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
count,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
mean,1.8295599489795915,1.4993779685817408,4.198706519096276,3.8977740894404915,1.8547469797950915,1.5143274333335701,0.7533429475970602,0.18238500634754562,0.9879503326385259,1.0453207339119437,6.690476190476191,98.7858737244898,99.90274234693877,7.106326878314806,5.700524422133196
std,2.5171348951754484,2.1094721496490534,5.669736851703528,5.367150354014757,2.4038152322627786,1.9925854288366054,0.3898767601637621,0.18079016549091642,2.793891525207342,0.3476393747340445,0.7152722571568845,15.443771228950913,15.501560667907656,4.605568558773971,3.5418323471231767
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.42365927286816174,0.0,-4.8692117072603285,0.32972757704014316,5.0,61.27232142857143,59.263392857142854,2.2460504238279135,1.40625
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.6356731557693432,0.0,-1.1334272250836552,0.8745617429129033,7.0,92.53627232142858,92.15959821428572,3.3022759538943682,3.196005300429175
50%,0.6026785714285714,0.5326294191395788,1.450508323551302,1.3656288373847147,0.7019704433497538,0.6390732049433698,0.9559642746868516,0.13123732861444454,1.653574479567377,1.014679755058514,7.0,99.94419642857143,101.70200892857143,6.470808512306145,4.453052401943753
75%,2.5111607142857144,1.916865620131563,5.785649490592975,5.114189521249213,2.9761904761904763,2.2715030335952497,1.0,0.3421330211712885,3.246864124406811,1.2645253113301758,7.0,109.98883928571429,110.23995535714286,8.760608935443608,7.499868450604179
max,10.546875,7.954951288348659,21.260501606769033,20.456758084996853,9.720430107526882,7.2954655631016845,1.0,0.5722588975539613,4.982895862708297,1.7692614737432528,7.0,126.06026785714286,126.06026785714286,20.32992041456385,19.058369826907644
