,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
count,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
mean,1.1053093112244898,0.814330989469615,2.306431268697953,2.062989078978483,1.1131218289954268,0.830664690980235,0.877062113772489,0.090933303289872,2.036712692614326,1.0195191235972596,6.642857142857143,99.00908801020408,99.83777104591837,6.36650815934842,5.453987522735295
std,3.685220477852916,2.3399899162485345,6.646157715575686,5.670110361269293,3.398214763215562,2.167506472923014,0.3240673502500884,0.1527349294344552,2.1316760035779714,0.3251981035266511,0.7265497673662351,15.84984896918334,15.594275903391921,5.412832436232155,3.3057602849742516
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.4940121425153176,0.0,-2.4546375720344473,0.5766756435354222,5.0,60.267857142857146,59.263392857142854,1.3101960805662831,1.40625
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.9639645180382854,0.0,0.6621630308153699,0.730962577689709,7.0,88.24637276785714,91.02957589285714,3.1606262459230985,3.176394971151274
50%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.3173158830196137,1.0100293189698104,7.0,99.84375,101.45089285714286,4.816956871039067,4.259935330492468
75%,0.703125,0.6217411454214057,1.5722352966795397,1.4783738280242515,0.8035714285714286,0.6333690084051128,1.0,0.11889652544889313,3.8663792441476685,1.1707805904270585,7.0,110.49107142857143,110.49107142857143,7.344792387041934,7.293768670910642
max,22.5,12.949722487374006,36.6705135292649,29.356563192883726,20.5,11.670475568716128,1.0,0.5654859671113789,5.927037759907286,1.8903362009871658,7.0,126.06026785714286,126.06026785714286,29.46420961840823,15.945376205076775
