,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
count,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
mean,3.3246970663265305,2.0441371581744776,6.175242778130953,5.342932808711233,3.35987748573881,2.0584834992797574,0.6880779520620532,0.18472202465789703,-0.21583946492740863,0.9606212071725072,6.738095238095238,98.56186224489797,99.7883450255102,8.821660792629531,5.86664804177429
std,5.254027451954672,3.1696432093692266,9.065460439514581,7.9793234817856,5.144535977061621,3.037842060219851,0.4935214212602905,0.17613828231416187,3.1557414949120406,0.3489982462468471,0.6270147549329285,16.306684804783256,15.497560239918446,7.393739222613989,3.565264872452481
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.8121929086567268,0.0,-8.044498029156621,0.3096441278068108,5.0,59.765625,59.263392857142854,2.2460504238279135,1.40625
25%,0.12555803571428573,0.11624415315224558,0.33219533760576614,0.3196368450780758,0.0992063492063492,0.0918472321202928,0.6079709725349606,0.013255383694673285,-2.0850571026410933,0.652176216054539,7.0,87.13727678571429,91.90848214285714,3.9859731897327366,3.176394971151274
50%,1.0044642857142858,0.76511772544407,2.2683716540214314,1.998190760937423,1.0123685837971554,0.7804788986762861,0.9701359856550397,0.10833659074450366,0.5228568498062631,0.9862036012346481,7.0,100.94866071428572,102.20424107142857,7.135232398062605,5.3889164298942465
75%,3.013392857142857,1.855037451209544,5.637541821590202,5.108744314502589,3.599624060150376,2.6198715613564234,0.9982367316745391,0.3357522905313444,2.2726181857696757,1.1511889269930098,7.0,110.29017857142857,110.23995535714286,9.788643717550343,7.798599519866446
max,21.09375,14.340992381979705,38.38315517987676,35.53691025601758,20.94534365470326,14.047202054465501,1.0,0.5757432630570047,4.292070057589319,1.8318364781861867,7.0,126.06026785714286,126.06026785714286,37.62868545073027,19.058369826907644
