,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
count,42.0,42.0,42.0,42.0,42.0,42.0,0.0,0.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
mean,16.1865234375,0.0,16.1865234375,0.0,15.348010943960308,0.0,,,-4.788240700514639,0.0,1.0,85.6201171875,101.220703125,0.0,0.0
std,23.148900721066404,0.0,23.148900721066404,0.0,20.95814597181736,0.0,,,5.419190850760815,0.0,0.0,25.51541692645421,17.368311228935234,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,,,-18.30603577870831,0.0,1.0,46.58203125,55.37109375,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,,,-8.08293697913507,0.0,1.0,61.7431640625,89.4287109375,0.0,0.0
50%,1.318359375,0.0,1.318359375,0.0,1.4551907719609583,0.0,,,-4.927581050033483,0.0,1.0,87.890625,104.150390625,0.0,0.0
75%,33.3984375,0.0,33.3984375,0.0,35.68928054080155,0.0,,,-0.7623371086468358,0.0,1.0,111.62109375,112.5,0.0,0.0
max,70.3125,0.0,70.3125,0.0,58.82352941176471,0.0,,,6.926642509150275,0.0,1.0,128.3203125,133.59375,0.0,0.0
