,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
count,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
mean,2.7471301020408165,1.3700716687811045,4.561514803803327,3.6488519792014706,2.7491663629432646,1.398714571078149,0.8007027517498825,0.14635052506487897,1.1155973992105686,0.9943804216474591,6.642857142857143,97.44379783163265,99.83777104591837,7.521614261001653,5.453987522735295
std,7.75840621330391,2.6802486088536677,9.927184240583609,7.151066859215946,7.327893062615285,2.574631140271422,0.3729821973972065,0.18984894432488278,2.6238847220267854,0.41905126097523926,0.7265497673662351,16.965487543500267,15.594275903391921,5.678678792212738,3.3057602849742516
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.4795054886323517,0.0,-10.170958439234902,0.3793166874444336,5.0,60.46875,59.263392857142854,1.3101960805662831,1.40625
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.867074965780513,0.0,-0.12534552250214523,0.7770716725798033,7.0,87.890625,91.02957589285714,3.347071015306167,3.176394971151274
50%,0.25111607142857145,0.23248830630449116,0.6643906752115323,0.6392736901561517,0.21645021645021645,0.2003939609897298,0.9985672631086213,0.016915584255165594,1.4598255758137202,0.8944522525209768,7.0,98.68861607142857,101.45089285714286,6.066214395484216,4.259935330492468
75%,1.0044642857142858,0.9299532252179646,2.657562700846129,2.546863080137977,1.2068092937658155,1.0692215826177565,1.0,0.25255335846939825,2.935165476974256,1.1230271927245254,7.0,110.49107142857143,110.49107142857143,9.2516584149947,7.293768670910642
max,45.703125,11.932426932522988,48.434034654265844,26.59794366956473,43.10906298003072,10.791200118615167,1.0,0.5606957278668354,5.790591393625009,2.6302868778218924,7.0,126.06026785714286,126.06026785714286,27.41285909477521,15.945376205076775
