,MAE,MAE_SE,RMSE,RMSE_SE,MAPE,MAPE_SE,Pearson,Pearson_SE,SNR,SNR_SE,num_windows,mean_prediction,mean_ground_truth,std_prediction,std_ground_truth
count,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
mean,1.6330516581632653,1.2405211722368117,3.4647308486195,3.113317718014232,1.6263633329736975,1.248440775063329,0.8649611278652171,0.1159147749665306,2.0534671339291006,1.0486747287076015,6.642857142857143,98.62563775510205,99.83777104591837,7.132905127761275,5.453987522735295
std,3.8948238541193687,2.6144890451099587,7.260115686171185,6.3319999262694475,3.6442589959687175,2.4936505107149944,0.3145951535064196,0.16360621278799023,2.3797947958907293,0.3706281957310249,0.7265497673662351,15.771529523183908,15.594275903391921,5.548524441163551,3.3057602849742516
min,0.0,0.0,0.0,0.0,0.0,0.0,-0.4872356496615797,0.0,-2.8986057112970847,0.5398831215629829,5.0,59.765625,59.263392857142854,1.40625,1.40625
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.8971372726519891,0.0,0.5202234995996123,0.7888130201352734,7.0,86.71037946428572,91.02957589285714,3.2109369875664413,3.176394971151274
50%,0.5022321428571429,0.4649766126089823,1.3287813504230646,1.2785473803123033,0.45454545454545453,0.4208273180784325,0.9963521287736572,0.03814103624562863,2.2494494160971636,0.9507311745428437,7.0,99.140625,101.45089285714286,5.935039404487002,4.259935330492468
75%,1.0044642857142858,0.9299532252179646,2.657562700846129,2.5570947606246066,1.4101830663615562,1.0987439072278504,1.0,0.1988672841845617,3.7062784079457236,1.241805244022805,7.0,110.36551339285714,110.49107142857143,8.55386279134953,7.293768670910642
max,22.5,12.949722487374006,36.6705135292649,29.356563192883726,20.5,11.670475568716128,1.0,0.5654859671113789,6.046110033845139,2.3469705854049403,7.0,126.06026785714286,126.06026785714286,29.46420961840823,15.945376205076775
